id,created_at,created_by,version,title,description,lat,lng,street,zip,city,country,state,homepage,contact_name,contact_email,contact_phone,opening_hours,founded_on,categories,tags,license,image_url,image_link_url,avg_rating
c43c62da8b914803965fed05f27525fc,1567013559,,5,NaturFreunde Berlin e. V.,"Die NaturFreunde Berlin sind ein progressiver Umwelt- und Freizeitverband. Sie setzen sich für eine solidarische, sozial gerechte Gesellschaft und Umweltschutz ein. | Bürozeiten: montags bis freitags, je von 10.00 Uhr bis 16.00 Uhr",52.48161881811992,13.31716206544878,Paretzer Straße 7,10713,Berlin,,,http://naturfreunde-berlin.de/,,info@naturfreunde-berlin.de,030810560250,,,2cd00bebec0c48ba9db761da48678134,"leitungswasser,natur,naturefriends,naturfreunde,refill,refill-station,trinkwasser,umweltschutz,umweltverband,wasser",CC0-1.0,https://www.naturfreunde-berlin.de/sites/all/themes/nfd/images/nfd-logo.png,https://www.naturfreunde-berlin.de/,1.25
cc659e9e17f8459fb69098108f15cc1c,1599206425,,4,Ormado Kaffeehaus,"Das Ormado Kaffeehaus in Berlin Lichtenberg
serviert Kaffee aus eigener Röstung, frisch
zubereitetet Kuchen- und Backspezialitäten
sowie ein reichhaltiges Frühstück. Getränke
und Accessoires gibt es auch in dem
Onlineshop zu erwerben. Außerdem bietet das
Kaffeehaus auch Barista-Schulungen an.
Headline: Purer Genuss: Kaffee aus eigener Röstung
serviert das Ormado Kaffeehaus in Berlin
Lichtenberg
Kurzfassung: In Berlin Lichtenberg bietet das Ormado
Kaffeehaus eine genussvolle Auswahl an
Kaffeesorten, Kuchen- und
Frühstücksspezialitäten an. Barista-Schulungen
vermitteln alles rund um die Kaffeezubereitung.",52.51021560864067,13.501370480983224,Einbecker Str. 18,10317,Berlin,,,https://www.ormado.de/,,info@ormado.de,017685589190,,,77b3c33a92554bcf8e8c2c86cedd6f6f,"cafe,coffee-shop,kaffeehaus,leitungswasser,refill,refill-station",CC0-1.0,https://www.facebook.com/ormado.de,https://www.instagram.com/ormado_kaffeehaus,0.6666666666666666
13259a3edd34485c95b220628e53bde8,1672748485,,1,Trinkwasserbrunnen,Eine Trinkwasserstation auf dem Campus der TU Berlin. Zudem ist auch das Wasser in den sanitären Anlagen der TU bedenkenlos trinkbar.,52.509899988076604,13.326200020185764,Hardenbergstr. 34,10623,Berlin,Deutschland,,,,,,,,2cd00bebec0c48ba9db761da48678134,"refill,refill-station,trinktrinkwasser,trinkwasser",CC0-1.0,https://www.stw.berlin/assets_dyn/sw-berlin/themen/Trinkwasser_LOGO-1_w360.jpg?t=29,,0.6666666666666666
2bb7d55ad02649d98b5a2128301f017b,1569408966,,1,Rabenhaus e.V.,"RH mit seinen sozial-kulturellen, gemeinwesenorientierten Projekten ist der Nachhaltigkeit, dem Klima- und Umweltschutz verpflichtet.

Öffnungszeiten:
Mo: 10:00 – 17:00
Di: 13:00 – 18:00
Mi: 10:00 – 17:00
Do: 13:00 – 18:00
Fr: nach Vereinbarung",52.4547088017942,13.5794358391219,Puchanstr. 9,12555,Berlin,,,https://www.rabenhaus.de/,,info@rabenhaus.de,030-65880165,,,2cd00bebec0c48ba9db761da48678134,"barrierefrei,beratung,gemeinwohl,klima,leitungswasser,nachbarschaft,nachhaltigkeit,offen-für-alle,partizipation,refill,refill-station,trinkwasser,umweltbildung,workshops",CC0-1.0,,,0.5
1176c0a59e4c41e9aa41b116f8b815a5,1625211972,,5,Atelier cocon coloré,"Soziales Atelier, Community-Art-Atelier,
Co-Working Space, Offenes Atelier, Gemeinschaftsraum, Galerie, Atelierräume, Projektraum, Kurse, Workshops, ",52.55039283658862,13.35525513317215,Amsterdamer str. 6,13347,Berlin,,,https://www.coconcolore.com/,Priscilla Haage,Atelier-coconcolore@gmx.de,017656844830,,,77b3c33a92554bcf8e8c2c86cedd6f6f,"leitungswasser,refill,refill-station,trinkwasser",CC0-1.0,https://www.google.com/search?q=atelier+cocon+colore&client=tablet-android-samsung-nf-rev1&prmd=ismvn&sxsrf=ALeKk02zs_EaECrl7ngUJvix32sqEzF2OQ:1625210752408&source=lnms&tbm=isch&sa=X&ved=2ahUKEwif59Ps7cPxAhVpgv0HHfW-A8cQ_AUoAXoECAIQAQ&biw=800&bih=1280#imgrc=RTSrxgEfnuZwCM,,0.5
a9d8ce9ad547430b914928634d08db81,1668173289,,9,Original Unverpackt,Angebot von Seminaren zur Gründung von Zero-Waste Stores. Einkaufen ohne Einwegverpackungen ist hier möglich.,52.49777288292431,13.430196053083145,Wiener Straße 16,10999,Berlin,,,https://original-unverpackt.de/,Katha,kontakt@original-unverpackt.de,,,,77b3c33a92554bcf8e8c2c86cedd6f6f,"leitungswasser,nexus4,plastikfrei,refill,refill-station,refill-sticker,trinkwasser,unverpackt,zerowaste",CC0-1.0,https://original-unverpackt.de/content/uploads/Original-Unverpackt_%C2%A9Junala_klein_6169-1194x360.jpg,https://original-unverpackt.de/,0.5
d67f7f318fd64767b98680f170969a1a,1716981586,,7,Supermarché - Fair Trade Streetwear,"Supermarche - Ein Klamottenladen, der nachhatlige und faire Kleidung verkauft. Von der Fair-Trade-Unterwäsche bis zu einem sehr größen Sortiment an Ökojeans. Zudem wird die Kollektion des Eigenlabels Hirschkind verkauft.",52.49780879937941,13.430099493558565,Wiener Straße 16,10999,Berlin,Deutschland,Berlin,https://www.supermarche-berlin.de/,Nicole Jäckle,info@supermarche-berlin.de,03020950461,Öffnungszeiten: Mo-Fr 11-19 Uhr; Sa 11-18 Uhr,,77b3c33a92554bcf8e8c2c86cedd6f6f,"faire-kleidung,fairfashion,fairtrade,fashion,frauenkleidung,green,herrenkleidung,kleidung,kreuzberg,leitungswasser,mode,nachhaltige,nachhaltige-handabdrücke,refill,refill-station,secondhand,trinkwasser,ökojeans,ökomode",CC0-1.0,,,0.5
fd3304b527ac4b7b9e6957d6063ad9bd,1564747742,,0,denn's Biomarkt,"Öffnungszeiten:
Mo-Sa 08-21 Uhr",52.510478004119584,13.293299122384424,Kaiserdamm 112,14057,Berlin,,,https://www.denns-biomarkt.de/,,,,,,77b3c33a92554bcf8e8c2c86cedd6f6f,"leitungswasser,refill,refill-station,trinkwasser",CC0-1.0,,,0.3333333333333333
174ffa9d394a496ab4949012e9126231,1564746609,,0,denn's Biomarkt,"Öffnungszeiten:
Mo-Sa 8-20 Uhr
",52.45137821065792,13.270553989927542,Clayallee 177,14195,Berlin,,,https://www.denns-biomarkt.de/,,,,,,77b3c33a92554bcf8e8c2c86cedd6f6f,"leitungswasser,refill,refill-station,trinkwasser",CC0-1.0,,,0.3333333333333333
913233226dda4671b79f56c3b4666a1c,1565787901,,0,IGG MALZFABRIK mbH,"Öffnungszeiten
Montag bis Freitag 7.00 bis 21.00 Uhr
Samstag und Sonntag 9.30 bis 17.00 Uhr

",52.4667973921014,13.364243802318462,Bessemerstr. 2 - 14,12103,Berlin,,,,,,,,,77b3c33a92554bcf8e8c2c86cedd6f6f,"leitungswasser,refill,refill-station,trinkwasser",CC0-1.0,,,0.3333333333333333
